institution_id,country,country_code,name_canonical,name_display,institution_name_norm,legacy_ids,aliases
573,South Africa,ZA,Junior Achievers,Junior Achievers,junior achievers,"[""1305""]",[]
574,Canada,CA,Karavan Premium Meats,Karavan Premium Meats,karavan premium meats,"[""1306""]",[]
575,UK,GB,KD Grammar,KD Grammar,kd grammar,"[""552""]",[]
576,USA,US,Kean University,Kean University,kean university,"[""1539""]",[]
577,UK,GB,Keele University,Keele University,keele university,"[""1307""]",[]
578,Malaysia,MY,Kelab Rakan Siswa UIS,Kelab Rakan Siswa UIS,kelab rakan siswa uis,"[""1540""]",[]
579,Malaysia,MY,Keluarga Hauk,Keluarga Hauk,keluarga hauk,"[""1541""]",[]
580,USA,US,Kennesaw State University,Kennesaw State University,kennesaw state university,"[""782""]",[]
581,USA,US,Kerr MSA,Kerr MSA,kerr msa,"[""903""]",[]
582,Germany,DE,KGT Hannover,KGT Hannover,kgt hannover,"[""1542""]",[]
583,USA,US,Khairandbarakah,Khairandbarakah,khairandbarakah,"[""1045""]",[]
584,South Africa,ZA,Kid’s Cabin,Kid’s Cabin,kid s cabin,"[""418""]",[]
585,UK,GB,King's College London,King's College London,king s college london,"[""1543""]",[]
586,UK,GB,Kingston University,Kingston University,kingston university,"[""509""]",[]
587,UK,GB,KPMG Muslim Network,KPMG Muslim Network,kpmg muslim network,"[""564""]",[]
588,Canada,CA,KPU MSA,KPU MSA,kpu msa,"[""1308""]",[]
589,USA,US,Krave It Cafe,Krave It Cafe,krave it cafe,"[""1050""]",[]
590,USA,US,KU MSA 2023,KU MSA 2023,ku msa 2023,"[""819""]",[]
591,South Africa,ZA,Kumon Maths,Kumon Maths,kumon maths,"[""448""]",[]
592,Canada,CA,Kwantlen park MSA,Kwantlen park MSA,kwantlen park msa,"[""1075""]",[]
593,Canada,CA,L.A. Matheson Secondary School,L.A. Matheson Secondary School,l a matheson secondary school,"[""16""]",[]
594,Malaysia,MY,La Familia,La Familia,la familia,"[""1309""]",[]
595,Pakistan,PK,Lahore University of Management Sciences,Lahore University of Management Sciences,lahore university of management sciences,"[""349""]",[]
